Year,Month,Day,Hour,Event_Latitude,Event_Longitude,Grid_Points,Event_Index,Event_Type
1979.0,1.0,28.0,1.0,33.525,-96.375005,20,1,3000
1979.0,11.0,7.0,2.0,35.8055555556,-136.25,18,2,3000
1979.0,11.0,29.0,1.0,37.2045454545,-91.8181909091,22,5,3000
1980.0,1.0,14.0,3.0,32.7105263158,-88.0789526316,19,7,3000
1980.0,3.0,16.0,2.0,30.5,-124.75,20,9,3000
1980.0,11.0,11.0,1.0,38.0675675676,-66.8243432432,37,10,3000
1980.0,12.0,9.0,3.0,34.325,-101.775,20,14,3000
1981.0,1.0,18.0,1.0,34.5,-88.0263157895,19,16,3000
1981.0,3.0,6.0,1.0,32.7878787879,-79.0757757576,33,17,3000
1981.0,3.0,16.0,4.0,33.2083333333,-85.1458416667,24,18,3000
1981.0,3.0,21.0,4.0,31.6944444444,-106.722222222,18,19,3000
1981.0,3.0,27.0,2.0,31.1428571429,-63.2000285714,35,20,3000
1981.0,11.0,6.0,4.0,38.45,-76.67502,20,21,3000
1982.0,1.0,20.0,4.0,31.8714285714,-112.842857143,35,31,3000
1982.0,12.0,24.0,2.0,33.0217391304,-113.282608696,23,37,3000
1983.0,3.0,25.0,3.0,30.8409090909,-73.2954681818,22,45,3000
1983.0,11.0,13.0,2.0,37.1428571429,-96.857147619,21,46,3000
1983.0,11.0,25.0,1.0,35.4193548387,-86.1613,31,47,3000
1984.0,12.0,4.0,1.0,36.875,-121.775,20,57,3000
1985.0,1.0,4.0,4.0,32.5,-85.7727318182,22,61,3000
1985.0,1.0,13.0,3.0,32.8684210526,-58.8684526316,19,62,3000
1985.0,1.0,22.0,3.0,33.9210526316,-74.6579157895,19,64,3000
1985.0,3.0,3.0,1.0,34.45,-115.875,20,65,3000
1986.0,1.0,7.0,3.0,31.5952380952,-108.523809524,21,70,3000
1986.0,11.0,23.0,1.0,34.9545454545,-106.681818182,22,74,3000
1986.0,12.0,2.0,3.0,35.14,-88.54,25,77,3000
1987.0,1.0,11.0,3.0,32.2307692308,-92.2884653846,26,78,3000
1987.0,1.0,19.0,2.0,31.3333333333,-95.1875041667,24,80,3000
1987.0,3.0,30.0,4.0,34.3636363636,-57.7273,22,84,3000
1987.0,12.0,2.0,2.0,34.0303030303,-73.3181969697,33,87,3000
1987.0,12.0,6.0,2.0,34.3409090909,-135.25,22,88,3000
1987.0,12.0,28.0,3.0,36.7619047619,-93.5238142857,21,91,3000
1988.0,1.0,26.0,2.0,35.0263157895,-79.6052789474,19,92,3000
1988.0,11.0,6.0,3.0,36.02,-80.7,25,95,3000
1988.0,11.0,22.0,2.0,38.5441176471,-91.0000029412,34,97,3000
1988.0,11.0,25.0,3.0,37.7857142857,-70.2381095238,21,98,3000
1988.0,11.0,27.0,2.0,38.0789473684,-90.6578947368,19,99,3000
1988.0,12.0,14.0,2.0,34.1,-66.080024,25,101,3000
1989.0,2.0,21.0,1.0,32.34,-98.980004,25,103,3000
1990.0,2.0,5.0,4.0,33.3333333333,-70.7777944444,18,109,3000
1990.0,3.0,21.0,2.0,34.6964285714,-73.3571571429,28,113,3000
1990.0,12.0,5.0,3.0,37.7419354839,-68.1613064516,31,117,3000
1990.0,12.0,24.0,2.0,35.4838709677,-94.7258096774,31,120,3000
1991.0,3.0,1.0,3.0,34.2105263158,-127.342105263,19,122,3000
1991.0,11.0,19.0,2.0,34.5681818182,-101.613636364,22,126,3000
1991.0,12.0,20.0,2.0,33.9285714286,-113.619047619,21,130,3000
1992.0,1.0,16.0,2.0,33.0,-93.860004,25,131,3000
1992.0,2.0,27.0,2.0,34.4318181818,-87.6591,22,133,3000
1992.0,2.0,28.0,4.0,31.75,-136.25,20,134,3000
1992.0,3.0,1.0,2.0,31.8421052632,-135.657894737,19,135,3000
1992.0,3.0,12.0,4.0,33.7894736842,-84.1447473684,38,136,3000
1992.0,11.0,3.0,1.0,35.8888888889,-87.7407481481,27,137,3000
1992.0,12.0,20.0,2.0,37.5322580645,-96.5322612903,31,141,3000
1993.0,1.0,7.0,4.0,34.1,-132.357142857,35,142,3000
1993.0,1.0,13.0,1.0,31.75,-132.25,20,143,3000
1993.0,1.0,30.0,1.0,33.8709677419,-88.8064548387,31,144,3000
