Year,Month,Day,Hour,Event_Latitude,Event_Longitude,Grid_Points,Event_Index,Event_Type
1980.0,11.0,16.0,4.0,31.1666666667,-110.166666667,30,11,1000
1981.0,11.0,26.0,4.0,30.7777777778,-55.1944722222,18,22,1000
1982.0,1.0,14.0,1.0,28.9,-97.875005,20,30,1000
1982.0,11.0,4.0,2.0,32.9833333333,-92.5500066667,30,34,1000
1983.0,1.0,27.0,1.0,31.075,-129.35,20,39,1000
1983.0,2.0,2.0,1.0,27.5416666667,-104.5625,24,40,1000
1983.0,3.0,3.0,4.0,28.875,-121.85,20,42,1000
1983.0,3.0,16.0,1.0,27.4565217391,-106.239130435,23,43,1000
1983.0,3.0,24.0,3.0,28.0172413793,-89.0689655172,29,44,1000
1983.0,12.0,12.0,1.0,30.5,-91.1315842105,19,48,1000
1984.0,2.0,21.0,2.0,28.9166666667,-106.666666667,18,49,1000
1984.0,11.0,17.0,4.0,32.2,-114.05,20,54,1000
1984.0,11.0,22.0,1.0,33.675,-84.150005,20,56,1000
1984.0,12.0,14.0,4.0,30.85,-117.65,20,60,1000
1985.0,11.0,4.0,1.0,33.5555555556,-89.5277777778,18,66,1000
1986.0,1.0,5.0,3.0,31.0263157895,-100.684210526,19,69,1000
1986.0,11.0,16.0,1.0,30.0263157895,-133.0,19,73,1000
1986.0,11.0,28.0,2.0,28.7619047619,-100.333333333,21,76,1000
1987.0,1.0,15.0,2.0,29.15,-126.8,20,79,1000
1987.0,2.0,8.0,3.0,26.4545454545,-78.0454772727,22,81,1000
1987.0,3.0,5.0,3.0,25.56,-133.3,25,82,1000
1987.0,11.0,4.0,3.0,27.6458333333,-124.583333333,24,85,1000
1988.0,12.0,11.0,3.0,32.775,-95.150005,20,100,1000
1990.0,2.0,10.0,3.0,29.0833333333,-110.833333333,30,110,1000
1990.0,2.0,23.0,4.0,28.6578947368,-89.6578947368,19,111,1000
1990.0,11.0,4.0,3.0,31.4772727273,-104.340909091,22,114,1000
1990.0,12.0,7.0,4.0,29.4761904762,-94.0000095238,21,118,1000
1991.0,3.0,3.0,4.0,28.275,-86.02501,20,123,1000
1991.0,12.0,1.0,4.0,30.7380952381,-107.023809524,21,127,1000
1992.0,1.0,23.0,1.0,28.4423076923,-99.7115384615,26,132,1000
1992.0,11.0,26.0,3.0,31.25,-103.425,20,139,1000
1993.0,3.0,3.0,2.0,24.25,-103.833333333,18,147,1000
1993.0,12.0,24.0,4.0,30.05,-96.950005,20,151,1000
1994.0,1.0,30.0,1.0,29.375,-112.1875,24,152,1000
1994.0,3.0,2.0,4.0,29.5833333333,-86.4166722222,18,154,1000
1994.0,3.0,15.0,2.0,27.0263157895,-110.736842105,19,155,1000
1994.0,12.0,23.0,3.0,27.3095238095,-117.428571429,21,162,1000
1994.0,12.0,26.0,3.0,26.2954545455,-111.977272727,22,163,1000
1995.0,1.0,21.0,3.0,30.2857142857,-92.4523857143,21,164,1000
1996.0,1.0,3.0,2.0,29.5,-91.2727272727,22,167,1000
1996.0,11.0,25.0,1.0,28.2777777778,-97.3611111111,18,173,1000
1996.0,12.0,8.0,2.0,33.2105263158,-88.0526315789,19,174,1000
1996.0,12.0,9.0,1.0,34.0,-71.2500222222,18,175,1000
1997.0,1.0,31.0,4.0,26.75,-116.192307692,26,183,1000
1997.0,11.0,14.0,1.0,33.125,-135.7,20,188,1000
1997.0,11.0,26.0,3.0,32.0,-127.289473684,19,190,1000
1997.0,12.0,3.0,1.0,29.8611111111,-106.25,18,191,1000
1997.0,12.0,13.0,2.0,24.8888888889,-105.083333333,18,194,1000
1998.0,2.0,3.0,3.0,22.4318181818,-91.2045590909,22,196,1000
1998.0,2.0,5.0,4.0,27.7222222222,-105.87037037,27,197,1000
1998.0,11.0,21.0,4.0,32.5526315789,-94.7368473684,19,200,1000
1998.0,12.0,17.0,2.0,27.6,-114.35,20,205,1000
1999.0,11.0,1.0,1.0,30.375,-94.82501,20,211,1000
1999.0,11.0,13.0,3.0,33.275,-136.95,20,212,1000
1999.0,12.0,2.0,2.0,32.1944444444,-65.58335,18,218,1000
2000.0,12.0,7.0,2.0,30.9666666667,-83.98334,30,223,1000
2001.0,1.0,29.0,2.0,30.2321428571,-108.75,28,227,1000
2002.0,11.0,15.0,4.0,30.5526315789,-100.052631579,19,240,1000
