Year,Month,Day,Hour,Event_Latitude,Event_Longitude,Grid_Points,Event_Index,Event_Type
1979.0,11.0,19.0,4.0,41.5,-98.1851925926,27,3,2000
1979.0,11.0,21.0,1.0,44.8571428571,-73.4523952381,21,4,2000
1979.0,12.0,14.0,1.0,47.3181818182,-81.9091136364,22,6,2000
1980.0,2.0,18.0,3.0,38.2407407407,-118.425925926,27,8,2000
1980.0,11.0,17.0,1.0,39.8214285714,-66.8214464286,28,12,2000
1980.0,11.0,26.0,1.0,40.7272727273,-74.1818363636,22,13,2000
1980.0,12.0,10.0,1.0,49.8269230769,-61.5192653846,26,15,2000
1981.0,11.0,27.0,2.0,44.5,-92.8409136364,22,23,2000
1981.0,12.0,2.0,2.0,46.0869565217,-136.673913043,23,24,2000
1981.0,12.0,5.0,2.0,40.619047619,-71.2857333333,21,25,2000
1981.0,12.0,6.0,3.0,57.2631578947,-64.4473947368,19,26,2000
1981.0,12.0,20.0,3.0,40.475,-128.975,40,27,2000
1981.0,12.0,26.0,2.0,48.9473684211,-132.894736842,19,28,2000
1982.0,1.0,6.0,3.0,38.0277777778,-99.5277888889,18,29,2000
1982.0,3.0,8.0,4.0,54.0,-63.42502,20,32,2000
1982.0,11.0,1.0,4.0,44.3148148148,-124.148148148,27,33,2000
1982.0,11.0,25.0,3.0,44.35,-56.975005,20,35,2000
1982.0,12.0,12.0,3.0,38.9074074074,-132.685185185,27,36,2000
1982.0,12.0,26.0,3.0,46.0740740741,-84.0555592593,27,38,2000
1983.0,2.0,24.0,3.0,38.2708333333,-135.458333333,24,41,2000
1984.0,3.0,27.0,3.0,36.7,-113.825,20,50,2000
1984.0,11.0,3.0,3.0,44.152173913,-128.869565217,23,51,2000
1984.0,11.0,4.0,2.0,68.5384615385,-60.5000192308,26,52,2000
1984.0,11.0,15.0,1.0,41.2105263158,-53.2631894737,19,53,2000
1984.0,11.0,19.0,3.0,39.475,-83.00001,20,55,2000
1984.0,12.0,12.0,2.0,46.9722222222,-130.555555556,18,58,2000
1984.0,12.0,13.0,4.0,47.0,-75.7631842105,19,59,2000
1985.0,1.0,15.0,3.0,69.8611111111,-56.6389277778,18,63,2000
1985.0,11.0,9.0,3.0,51.0833333333,-57.0555555556,18,67,2000
1985.0,12.0,13.0,1.0,44.8269230769,-76.8461692308,26,68,2000
1986.0,2.0,5.0,3.0,39.2045454545,-86.8409181818,22,71,2000
1986.0,2.0,5.0,4.0,68.6842105263,-55.8158263158,19,72,2000
1986.0,11.0,26.0,3.0,47.5833333333,-89.9722333333,18,75,2000
1987.0,3.0,18.0,3.0,37.6,-73.40001,20,83,2000
1987.0,11.0,21.0,4.0,55.0862068966,-60.9827758621,29,86,2000
1987.0,12.0,10.0,2.0,46.0892857143,-123.660714286,28,89,2000
1987.0,12.0,10.0,3.0,43.5416666667,-68.0694583333,36,90,2000
1988.0,11.0,3.0,3.0,47.7916666667,-60.1458666667,24,93,2000
1988.0,11.0,3.0,4.0,44.6136363636,-116.818181818,22,94,2000
1988.0,11.0,22.0,1.0,40.8333333333,-73.4111311111,45,96,2000
1989.0,2.0,19.0,1.0,41.2368421053,-134.5,19,102,2000
1989.0,2.0,23.0,2.0,50.6111111111,-63.3333592593,27,104,2000
1989.0,2.0,23.0,3.0,36.95,-78.550035,20,105,2000
1989.0,3.0,29.0,3.0,45.7352941176,-79.6764823529,34,106,2000
1989.0,12.0,15.0,2.0,38.9318181818,-64.8409363636,22,107,2000
1990.0,1.0,20.0,1.0,41.2619047619,-130.119047619,21,108,2000
1990.0,3.0,18.0,1.0,41.2708333333,-78.9375166667,48,112,2000
1990.0,11.0,24.0,3.0,47.4,-134.875,20,115,2000
1990.0,12.0,5.0,3.0,41.8409090909,-105.522727273,44,116,2000
1990.0,12.0,11.0,3.0,45.1315789474,-117.947368421,19,119,2000
1990.0,12.0,31.0,3.0,44.6964285714,-70.5893107143,28,121,2000
1991.0,3.0,5.0,4.0,39.1388888889,-113.444444444,18,124,2000
1991.0,11.0,17.0,1.0,40.225,-135.425,20,125,2000
1991.0,12.0,7.0,1.0,41.5909090909,-129.045454545,22,128,2000
1991.0,12.0,7.0,4.0,47.0,-93.6842105263,19,129,2000
1992.0,11.0,3.0,2.0,41.7631578947,-57.1053052632,19,138,2000
1992.0,11.0,30.0,3.0,53.275,-66.70002,20,140,2000
1993.0,11.0,1.0,2.0,49.8333333333,-59.593775,48,149,2000
1994.0,11.0,6.0,4.0,44.0652173913,-88.3043565217,23,158,2000
1994.0,12.0,8.0,2.0,40.7368421053,-66.4210789474,19,161,2000
1995.0,11.0,13.0,2.0,58.25,-74.4166833333,24,166,2000
1996.0,1.0,17.0,3.0,38.4230769231,-119.134615385,26,168,2000
1996.0,11.0,7.0,3.0,43.9736842105,-91.5263210526,19,170,2000
1996.0,11.0,17.0,2.0,79.2954545455,-126.045454545,22,171,2000
1996.0,11.0,20.0,1.0,44.3636363636,-122.522727273,66,172,2000
1996.0,12.0,10.0,3.0,58.6578947368,-59.7105473684,19,176,2000
1996.0,12.0,12.0,1.0,41.1551724138,-121.879310345,29,177,2000
1996.0,12.0,12.0,3.0,38.5681818182,-103.477272727,22,178,2000
1996.0,12.0,21.0,4.0,39.1,-134.15,20,179,2000
1996.0,12.0,25.0,3.0,39.5681818182,-74.3863818182,22,180,2000
1996.0,12.0,28.0,3.0,73.6388888889,-54.6666916667,36,181,2000
1997.0,1.0,3.0,3.0,69.6730769231,-61.2500192308,26,182,2000
1997.0,3.0,5.0,1.0,39.4285714286,-97.0000047619,21,185,2000
1997.0,3.0,5.0,3.0,42.2631578947,-62.7895,19,186,2000
1997.0,11.0,1.0,1.0,42.525,-109.275,20,187,2000
1998.0,1.0,23.0,4.0,37.5714285714,-130.785714286,21,195,2000
1998.0,3.0,25.0,1.0,39.5,-65.3182045455,22,198,2000
1998.0,11.0,6.0,3.0,41.5833333333,-58.5555777778,18,199,2000
1998.0,12.0,2.0,1.0,47.6323529412,-80.0000117647,34,202,2000
1998.0,12.0,3.0,2.0,42.1111111111,-128.266666667,45,203,2000
1998.0,12.0,4.0,2.0,48.9365079365,-95.1508,63,204,2000
1999.0,3.0,7.0,3.0,66.7368421053,-55.6842210526,19,207,2000
1999.0,3.0,20.0,1.0,37.5238095238,-130.976190476,21,208,2000
1999.0,3.0,26.0,3.0,45.2380952381,-127.238095238,21,209,2000
1999.0,3.0,29.0,4.0,45.1578947368,-74.6052894737,19,210,2000
1999.0,11.0,19.0,1.0,43.8,-138.675,20,214,2000
1999.0,11.0,24.0,1.0,44.1956521739,-88.3913043478,23,216,2000
1999.0,11.0,29.0,3.0,49.2777777778,-54.8889111111,18,217,2000
1999.0,12.0,24.0,4.0,58.2368421053,-121.368421053,19,219,2000
2000.0,1.0,24.0,1.0,35.8125,-132.125,24,220,2000
2000.0,3.0,28.0,4.0,40.75,-89.3863727273,22,221,2000
