Year,Month,Day,Hour,Event_Latitude,Event_Longitude,Grid_Points,Event_Index,Event_Type
1979.0,11.0,19.0,4.0,41.5,-98.1851925926,27,3,2000
1980.0,2.0,18.0,3.0,38.2407407407,-118.425925926,27,8,2000
1981.0,12.0,2.0,2.0,46.0869565217,-136.673913043,23,24,2000
1981.0,12.0,20.0,3.0,40.475,-128.975,40,27,2000
1981.0,12.0,26.0,2.0,48.9473684211,-132.894736842,19,28,2000
1982.0,1.0,6.0,3.0,38.0277777778,-99.5277888889,18,29,2000
1982.0,11.0,1.0,4.0,44.3148148148,-124.148148148,27,33,2000
1982.0,12.0,12.0,3.0,38.9074074074,-132.685185185,27,36,2000
1983.0,2.0,24.0,3.0,38.2708333333,-135.458333333,24,41,2000
1984.0,3.0,27.0,3.0,36.7,-113.825,20,50,2000
1984.0,11.0,3.0,3.0,44.152173913,-128.869565217,23,51,2000
1984.0,12.0,12.0,2.0,46.9722222222,-130.555555556,18,58,2000
1987.0,12.0,10.0,2.0,46.0892857143,-123.660714286,28,89,2000
1988.0,11.0,3.0,4.0,44.6136363636,-116.818181818,22,94,2000
1989.0,2.0,19.0,1.0,41.2368421053,-134.5,19,102,2000
1990.0,1.0,20.0,1.0,41.2619047619,-130.119047619,21,108,2000
1990.0,11.0,24.0,3.0,47.4,-134.875,20,115,2000
1990.0,12.0,5.0,3.0,41.8409090909,-105.522727273,44,116,2000
1990.0,12.0,11.0,3.0,45.1315789474,-117.947368421,19,119,2000
1991.0,3.0,5.0,4.0,39.1388888889,-113.444444444,18,124,2000
1991.0,11.0,17.0,1.0,40.225,-135.425,20,125,2000
1991.0,12.0,7.0,1.0,41.5909090909,-129.045454545,22,128,2000
1996.0,1.0,17.0,3.0,38.4230769231,-119.134615385,26,168,2000
1996.0,11.0,17.0,2.0,79.2954545455,-126.045454545,22,171,2000
1996.0,11.0,20.0,1.0,44.3636363636,-122.522727273,66,172,2000
1996.0,12.0,12.0,1.0,41.1551724138,-121.879310345,29,177,2000
1996.0,12.0,12.0,3.0,38.5681818182,-103.477272727,22,178,2000
1996.0,12.0,21.0,4.0,39.1,-134.15,20,179,2000
1997.0,3.0,5.0,1.0,39.4285714286,-97.0000047619,21,185,2000
1997.0,11.0,1.0,1.0,42.525,-109.275,20,187,2000
1998.0,1.0,23.0,4.0,37.5714285714,-130.785714286,21,195,2000
1998.0,12.0,3.0,2.0,42.1111111111,-128.266666667,45,203,2000
1999.0,3.0,20.0,1.0,37.5238095238,-130.976190476,21,208,2000
1999.0,3.0,26.0,3.0,45.2380952381,-127.238095238,21,209,2000
1999.0,11.0,19.0,1.0,43.8,-138.675,20,214,2000
1999.0,12.0,24.0,4.0,58.2368421053,-121.368421053,19,219,2000
2000.0,1.0,24.0,1.0,35.8125,-132.125,24,220,2000
2000.0,11.0,8.0,2.0,45.5833333333,-129.083333333,18,222,2000
2001.0,1.0,16.0,3.0,61.25,-114.638888889,18,226,2000
2001.0,11.0,20.0,2.0,49.6052631579,-123.368421053,19,230,2000
2001.0,12.0,1.0,3.0,40.95,-131.2,20,232,2000
2002.0,2.0,4.0,2.0,38.0476190476,-103.976190476,21,233,2000
2002.0,12.0,16.0,1.0,39.0714285714,-133.595238095,21,245,2000
2003.0,1.0,9.0,2.0,49.3636363636,-109.568181818,22,250,2000
2004.0,1.0,3.0,3.0,37.8947368421,-125.368421053,19,258,2000
2004.0,12.0,8.0,3.0,44.9821428571,-134.017857143,28,271,2000
2006.0,1.0,3.0,4.0,39.7894736842,-102.315789474,19,281,2000
2006.0,2.0,5.0,4.0,37.0789473684,-108.394736842,19,283,2000
2006.0,11.0,8.0,3.0,47.5952380952,-112.785714286,21,285,2000
2007.0,1.0,3.0,3.0,43.55,-134.7,20,290,2000
2007.0,12.0,5.0,2.0,75.8571428571,-112.178571429,28,298,2000
2008.0,3.0,15.0,3.0,36.0322580645,-106.048390323,31,300,2000
2010.0,11.0,2.0,4.0,53.0394736842,-128.118421053,38,322,2000
