EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5623068,LINCOLN (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,13,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",1
5623069,LOGAN (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,25,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",2
5623070,MASON (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,7,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",3
5623065,JACKSON (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,8,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",4
5623066,KANAWHA (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,15,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",5
5623072,MINGO (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,24,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",6
5623073,NICHOLAS (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,37,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",7
5623074,PLEASANTS (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,10,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",8
5623075,POCAHONTAS (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,46,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",9
5623061,DODDRIDGE (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,20,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",10
5623062,FAYETTE (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,36,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",11
5623063,GILMER (ZONE), ,11/01/1997,100,Cold/Wind Chill, , ,0,0,0,0,WV,EST, ,2070398,Z,29,RLX,0,0, , , , , , , , , ,11/30/1997,2300, , , , ,"","
The monthly average temperature was 3 to 6 degrees below normal,  with the coldest readings during the 2nd and 3rd weeks.  It was the third consecutive November that was unusually cold.",12
