EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5676551,SOUTHERN SANGRE DE CRISTO MOUNTAINS / E COSTILLA / SW HUERFANO / X SW LAS ANIMAS (ZONE), ,11/01/1998,0,Winter Storm, , ,0,0,0,0,CO,MST, ,2151032,Z,66,PUB,0,0,TRAINED SPOTTER, , , , , , , , ,11/01/1998,1000, , , , ,"","A weather system over southeast New Mexico continued to stream moisture into southeast Colorado the morning of the 1st. Widespread heavy snow continued to fall across the Sangre de Cristo and Wet mountains, and adjacent areas. Snowfall totals from the system ranged from 1 to 3 inches for Teller, El Paso and eastern Las Animas counties, over 4 inches around Trinidad, 5 to 7 inches across the Wet mountains, and 6 to 12 inches across the Northern Sangre de Cristo mountains. Across the Southern Sangre de Cristo mountains, total snowfall ranged from 9 to 12 inches in Walsenburg in Huerfano county, to nearly 2 feet in Cuchara in the southern Sangre de Cristos.",1
5676552,NORTHERN SANGRE DE CRISTO MOUNTAINS / X SW FREMONT / X E SANGUACHE / W CUSTER / W HUERFANO / X N COSTILLA (ZONE), ,11/01/1998,0,Winter Storm, , ,0,0,0,0,CO,MST, ,2151032,Z,65,PUB,0,0,TRAINED SPOTTER, , , , , , , , ,11/01/1998,1000, , , , ,"","A weather system over southeast New Mexico continued to stream moisture into southeast Colorado the morning of the 1st. Widespread heavy snow continued to fall across the Sangre de Cristo and Wet mountains, and adjacent areas. Snowfall totals from the system ranged from 1 to 3 inches for Teller, El Paso and eastern Las Animas counties, over 4 inches around Trinidad, 5 to 7 inches across the Wet mountains, and 6 to 12 inches across the Northern Sangre de Cristo mountains. Across the Southern Sangre de Cristo mountains, total snowfall ranged from 9 to 12 inches in Walsenburg in Huerfano county, to nearly 2 feet in Cuchara in the southern Sangre de Cristos.",2
5676553,WET MOUNTAINS / E CUSTER / X SW PUEBLO / X N HUERFANO / PART SE FREMONT (ZONE), ,11/01/1998,0,Winter Storm, , ,0,0,0,0,CO,MST, ,2151032,Z,70,PUB,0,0,NWS EMPLOYEE(OFF DUTY), , , , , , , , ,11/01/1998,1000, , , , ,"","A weather system over southeast New Mexico continued to stream moisture into southeast Colorado the morning of the 1st. Widespread heavy snow continued to fall across the Sangre de Cristo and Wet mountains, and adjacent areas. Snowfall totals from the system ranged from 1 to 3 inches for Teller, El Paso and eastern Las Animas counties, over 4 inches around Trinidad, 5 to 7 inches across the Wet mountains, and 6 to 12 inches across the Northern Sangre de Cristo mountains. Across the Southern Sangre de Cristo mountains, total snowfall ranged from 9 to 12 inches in Walsenburg in Huerfano county, to nearly 2 feet in Cuchara in the southern Sangre de Cristos.",3
5677349,GRANT (ZONE), ,11/02/1998,100,Heavy Snow, , ,0,0,0,0,NE,MST, ,2150972,Z,23,LBF,0,0,OFFICIAL NWS OBS., , , , , , , , ,11/05/1998,2200, , , , ,"","A stationary front in western Nebraska produced heavy snowfall in the northeast Panhandle and parts of north central Nebraska. Snowfall amounts over the two to three day period ranged from 6 inches in northern Sheridan County near Gordon to 16 inches in southern Cherry County 21 miles northwest of Mullen.",4
5671574,SCOTTS BLUFF (ZONE), ,11/02/1998,1000,Winter Weather, , ,0,0,4000,0,NE,MST, ,2150738,Z,19,CYS,0,0,NEWSPAPER, , , , , , , , ,11/02/1998,1000, , , , ,"A motorist lost control of his car on Highway 92 and rolled his car into the ditch,  near the Scottsbluff monument.    The driver lost control when he encountered ice on the road.","",5
5670861,W SUMMIT T NW/SE SALT LAKE/WASATCH X SC/E UTAH/P X E JUAB/X NW SAN PETE (ZONE), ,11/02/1998,1200,Heavy Snow, , ,0,0,0,0,UT,MST, ,2084800,Z,8,SLC,0,0,TRAINED SPOTTER, , , , , , , , ,11/03/1998,1200, , , , ,"A storm moved through Utah, producing valley rain and mountain snow. Most areas received only light to moderate amounts of precipitation, but Alta picked up 8 inches of new snow.","",6
5677348,CHERRY (ZONE), ,11/02/1998,2200,Heavy Snow, , ,0,0,0,0,NE,MST, ,2150972,Z,5,LBF,0,0,OFFICIAL NWS OBS., , , , , , , , ,11/05/1998,2200, , , , ,"","A stationary front in western Nebraska produced heavy snowfall in the northeast Panhandle and parts of north central Nebraska. Snowfall amounts over the two to three day period ranged from 6 inches in northern Sheridan County near Gordon to 16 inches in southern Cherry County 21 miles northwest of Mullen.",7
5677345,SHERIDAN (ZONE), ,11/03/1998,15,Heavy Snow, , ,0,0,0,0,NE,MST, ,2150972,Z,4,LBF,0,0,OFFICIAL NWS OBS., , , , , , , , ,11/05/1998,700, , , , ,"","A stationary front in western Nebraska produced heavy snowfall in the northeast Panhandle and parts of north central Nebraska. Snowfall amounts over the two to three day period ranged from 6 inches in northern Sheridan County near Gordon to 16 inches in southern Cherry County 21 miles northwest of Mullen.",8
5677347,HOOKER (ZONE), ,11/03/1998,30,Heavy Snow, , ,0,0,0,0,NE,MST, ,2150972,Z,24,LBF,0,0,OFFICIAL NWS OBS., , , , , , , , ,11/05/1998,900, , , , ,"","A stationary front in western Nebraska produced heavy snowfall in the northeast Panhandle and parts of north central Nebraska. Snowfall amounts over the two to three day period ranged from 6 inches in northern Sheridan County near Gordon to 16 inches in southern Cherry County 21 miles northwest of Mullen.",9
5677346,CHERRY (ZONE), ,11/03/1998,100,Heavy Snow, , ,0,0,0,0,NE,MST, ,2150972,Z,5,LBF,0,0,OFFICIAL NWS OBS., , , , , , , , ,11/05/1998,900, , , , ,"","A stationary front in western Nebraska produced heavy snowfall in the northeast Panhandle and parts of north central Nebraska. Snowfall amounts over the two to three day period ranged from 6 inches in northern Sheridan County near Gordon to 16 inches in southern Cherry County 21 miles northwest of Mullen.",10
