EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5536256,NORTHERN BIG HORN MOUNTAINS (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WY,MST, ,2404396,Z,50,CYS,0,0, , , , , , , , , ,01/01/1996,2300, , , , ,"","Up to eleven inches of snow fell in the northern mountains and the adjacent foothills.  The largest amount of eleven inches fell in Lander.  Interstate 90, north of Buffalo was closed until 600 AM, temporarily stranding a number of travelers.",1
5548063,LOWER CLARK FORK REGION (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,MT,MST, ,2030454,Z,4,TFX,0,0, , , , , , , , , ,01/02/1996,1600, , , , ,"","5 to 7 inches of snow fell at several spots from North central to Southwest Montana. 12 inches was reported at Millegan.",2
5548064,MISSOULA / BITTERROOT VALLEYS (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,MT,MST, ,2030454,Z,5,TFX,0,0, , , , , , , , , ,01/02/1996,1600, , , , ,"","5 to 7 inches of snow fell at several spots from North central to Southwest Montana. 12 inches was reported at Millegan.",3
5542310,KANAWHA (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,15,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",4
5542314,BOONE (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,26,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",5
5542315,CLAY (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,27,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",6
5542311,ROANE (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,16,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",7
5542323,UPSHUR (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,39,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",8
5542324,BARBOUR (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,40,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",9
5542312,MINGO (ZONE), ,01/01/1996,0,Heavy Snow, , ,0,0,0,0,WV,EST, ,1001864,Z,24,RLX,0,0, , , , , , , , , ,01/31/1996,2359, , , , ,"","The month was the snowiest January on record at Beckley.
At Charleston, the month was the second snowiest for any
month on record.  At Elkins, it was the third snowiest 
of any month.  Total snowfall was 44.6 inches at Elkins, 37.3 inches at Beckley, and 35.1 inches at Charleston.  The high
elevations of Randolph, Webster, Nicholas, and Pocahontas
Counties had over 55 inches of snow during the month.",10
